Final Report
Total parcels processed: 205
Busiest destination: bursa
Longest delayed parcel: P27-0784 Delay: -1 ticks
Remaining in Queue: 0
Remaining in ReturnStack: 0
Remaining in BST: 72

Parcel Tracker's Records
ParcelID: P94-1418, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P90-1593, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P78-0592, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P10-1805, Status: Dispatched, Return Count: 0, Dispatch Tick: 31
ParcelID: P3-0978, Status: Dispatched, Return Count: 0, Dispatch Tick: 22
ParcelID: P2-1671, Status: Dispatched, Return Count: 0, Dispatch Tick: 17
ParcelID: P80-19, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P77-2169, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P22-2235, Status: Dispatched, Return Count: 0, Dispatch Tick: 68
ParcelID: P95-1659, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P82-2254, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P63-0479, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P54-0325, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P43-0831, Status: Dispatched, Return Count: 0, Dispatch Tick: 86
ParcelID: P36-0891, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P97-0189, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P69-1125, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P51-1551, Status: Dispatched, Return Count: 0, Dispatch Tick: 97
ParcelID: P39-2220, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P34-0443, Status: Dispatched, Return Count: 0, Dispatch Tick: 72
ParcelID: P77-0759, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P42-0786, Status: Dispatched, Return Count: 0, Dispatch Tick: 65
ParcelID: P36-1658, Status: Dispatched, Return Count: 0, Dispatch Tick: 73
ParcelID: P18-2433, Status: Dispatched, Return Count: 0, Dispatch Tick: 38
ParcelID: P64-0925, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P59-0723, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P51-2521, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P54-1168, Status: Dispatched, Return Count: 0, Dispatch Tick: 100
ParcelID: P44-1547, Status: Dispatched, Return Count: 0, Dispatch Tick: 88
ParcelID: P32-0529, Status: Dispatched, Return Count: 0, Dispatch Tick: 83
ParcelID: P20-0298, Status: Dispatched, Return Count: 0, Dispatch Tick: 51
ParcelID: P11-1916, Status: Dispatched, Return Count: 0, Dispatch Tick: 42
ParcelID: P6-0843, Status: Dispatched, Return Count: 0, Dispatch Tick: 26
ParcelID: P95-0475, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P70-1956, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P56-0355, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P40-079, Status: Dispatched, Return Count: 0, Dispatch Tick: 64
ParcelID: P9-2369, Status: Dispatched, Return Count: 0, Dispatch Tick: 25
ParcelID: P9-0343, Status: Dispatched, Return Count: 1, Dispatch Tick: 37
ParcelID: P89-1651, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P88-1201, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P81-1947, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P73-0696, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P62-1732, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P47-0730, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P99-2204, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P71-0329, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P29-0618, Status: Dispatched, Return Count: 0, Dispatch Tick: 54
ParcelID: P8-154, Status: Dispatched, Return Count: 0, Dispatch Tick: 24
ParcelID: P3-1444, Status: Dispatched, Return Count: 0, Dispatch Tick: 11
ParcelID: P98-1520, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P74-0822, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P65-059, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P35-0784, Status: Sorted, Return Count: 1, Dispatch Tick: -1
ParcelID: P26-1314, Status: Dispatched, Return Count: 0, Dispatch Tick: 70
ParcelID: P17-1941, Status: Dispatched, Return Count: 0, Dispatch Tick: 66
ParcelID: P9-1393, Status: Sorted, Return Count: 1, Dispatch Tick: -1
ParcelID: P96-1684, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P51-0228, Status: Dispatched, Return Count: 0, Dispatch Tick: 89
ParcelID: P44-2143, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P43-1460, Status: Dispatched, Return Count: 0, Dispatch Tick: 87
ParcelID: P40-1418, Status: Dispatched, Return Count: 0, Dispatch Tick: 95
ParcelID: P22-0185, Status: Dispatched, Return Count: 0, Dispatch Tick: 48
ParcelID: P98-0169, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P87-0848, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P50-0598, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P24-0265, Status: Dispatched, Return Count: 0, Dispatch Tick: 52
ParcelID: P99-0699, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P96-0872, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P90-058, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P88-0316, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P76-2281, Status: Sorted, Return Count: 0, Dispatch Tick: -1
ParcelID: P69-0623, Status: Sorted, Return Count: 0, Dispatch Tick: -1
